Incident energy ; ENDF/B-VIII.0 O17 ; ENDF/B-VIII.0 O18 ; TENDL-2019 O15 ; ENDF/B-VIII.0 O16
10000.0 ; 3.739974 ; 3.097523 ; 4.32098 ; 3.77167
10013.40697 ; 3.739811928321194 ; 3.0975022352848636 ; 4.32098 ; 3.7716405582938792
11045.15788 ; 3.7273394903211767 ; 3.0959042594754558 ; 4.32098 ; 3.7693748332955197
11174.99 ; 3.72577 ; 3.095703175488 ; 4.32098 ; 3.7690897219599995
11200.98517 ; 3.7254549805421946 ; 3.0956629141687038 ; 4.32098 ; 3.76903263656668
11250.0 ; 3.724861 ; 3.095587 ; 4.32098 ; 3.768925
11406.25 ; 3.722969 ; 3.0953449999999996 ; 4.32098 ; 3.7685818749999997
11562.5 ; 3.721076 ; 3.095103 ; 4.32098 ; 3.7682387499999996
11681.78222 ; 3.7196316354544643 ; 3.0949182556976638 ; 4.32098 ; 3.7679768062448797
11763.60941 ; 3.7186408063761918 ; 3.0947915217457918 ; 4.32098 ; 3.76779711373564
11846.59113 ; 3.7176359973250555 ; 3.0946629996578556 ; 4.32098 ; 3.76761488587852
11875.0 ; 3.717292 ; 3.094619 ; 4.32098 ; 3.7675524999999994
12097.87756 ; 3.7145925069932804 ; 3.0942738072350715 ; 4.32098 ; 3.7670630608782396
12183.21725 ; 3.713558872668 ; 3.0941416331232 ; 4.32098 ; 3.7668756549189997
12355.10051 ; 3.711477022622881 ; 3.0938754203301118 ; 4.32098 ; 3.76649819928004
12500.0 ; 3.709722 ; 3.093651 ; 4.32098 ; 3.76618
12706.17615 ; 3.7072249594121205 ; 3.09333249908348 ; 4.32098 ; 3.7657271547041398
13820.4008 ; 3.6937303618310398 ; 3.09161124484416 ; 4.32098 ; 3.7632798716828804
15000.0 ; 3.679444 ; 3.089789 ; 4.32098 ; 3.760689
15244.41274 ; 3.6764839661884077 ; 3.089412408850208 ; 4.32098 ; 3.76015226962296
17171.8286 ; 3.6531414181911197 ; 3.0864426464931203 ; 4.32098 ; 3.7559196643944
17292.96044 ; 3.6516744147032485 ; 3.086256006554048 ; 4.32098 ; 3.75565365887376
17500.0 ; 3.649167 ; 3.085937 ; 4.32098 ; 3.755199
17671.04 ; 3.647095 ; 3.085674145728 ; 4.32098 ; 3.754823327744
18253.28 ; 3.640043 ; 3.084779359296 ; 4.32098 ; 3.7535444958079998
18835.52 ; 3.632992 ; 3.083884572864 ; 4.32098 ; 3.752265663872
20000.0 ; 3.618889 ; 3.082095 ; 4.32098 ; 3.749708
20174.21228 ; 3.6167790802344637 ; 3.0818280603304316 ; 4.32098 ; 3.7493303077769604
21187.56075 ; 3.6045062142445996 ; 3.080275340248133 ; 4.32098 ; 3.747133368294001
21337.01998 ; 3.6026960836182242 ; 3.0800463288519784 ; 4.32098 ; 3.7468093406833605
22408.77616 ; 3.5897158301710084 ; 3.0784041125825703 ; 4.32098 ; 3.7444857732851204
22500.0 ; 3.588611 ; 3.0782643333333333 ; 4.32098 ; 3.744288
22566.84996 ; 3.5878013667644484 ; 3.0781619013679573 ; 4.32098 ; 3.744143042546736
23208.09696 ; 3.580035096098048 ; 3.0771793399647573 ; 4.32098 ; 3.742752562551936
23750.0 ; 3.573472 ; 3.076349 ; 4.32098 ; 3.7415774999999996
25000.0 ; 3.558333333333333 ; 3.074440666666667 ; 4.32098 ; 3.738867
25066.43047 ; 3.5575287983398614 ; 3.074339249482467 ; 4.32098 ; 3.7387229787410403
25243.25163 ; 3.5553873290591786 ; 3.0740693025115333 ; 4.32098 ; 3.7383396304661596
25960.54977 ; 3.5467001791055144 ; 3.072974227351133 ; 4.32098 ; 3.7367845280986405
26142.39527 ; 3.544497860378048 ; 3.0726966098878 ; 4.32098 ; 3.73639028705464
26326.80639 ; 3.5422644695978023 ; 3.072415075577933 ; 4.32098 ; 3.73599048374648
26885.24297 ; 3.5355012814065283 ; 3.0715625290658 ; 4.32098 ; 3.73477979324104
27074.89421 ; 3.5332044278823043 ; 3.0712729948394 ; 4.32098 ; 3.73436862935272
27500.0 ; 3.528056 ; 3.070624 ; 4.32098 ; 3.733447
27844.23928 ; 3.523886811761721 ; 3.0701013529758185 ; 4.32098 ; 3.732700551545248
28434.86321 ; 3.5167335829314674 ; 3.0692046283503642 ; 4.32098 ; 3.7314198426154355
28635.44562 ; 3.51430426741414 ; 3.0689000907633415 ; 4.32098 ; 3.730984899717592
30000.0 ; 3.4977777278757483 ; 3.0668283333333335 ; 4.32098 ; 3.728026
30285.9446 ; 3.494314564511244 ; 3.06639419317864 ; 4.32098 ; 3.72741419293384
30498.08815 ; 3.4917452284567223 ; 3.066072102698127 ; 4.32098 ; 3.72696029059426
30713.22476 ; 3.4891396425281345 ; 3.0657454679543843 ; 4.32098 ; 3.726499984303504
31208.6 ; 3.48314 ; 3.06499335624 ; 4.32098 ; 3.7254400794399998
31250.0 ; 3.482639 ; 3.0649305000000004 ; 4.32098 ; 3.7253515
31364.70478 ; 3.4812500923899647 ; 3.0647563475560182 ; 4.32098 ; 3.725106077652712
31367.19 ; 3.48122 ; 3.0647525743293333 ; 4.32098 ; 3.7251007602760002
31484.38 ; 3.4798 ; 3.0645746486586662 ; 4.32098 ; 3.724850020552
31585.95459 ; 3.4785700273651923 ; 3.0644204313444896 ; 4.32098 ; 3.7246326915592363
31718.75 ; 3.476962 ; 3.0642188125 ; 4.32098 ; 3.7243485625
31807.20431 ; 3.4758907357485436 ; 3.064084515269604 ; 4.32098 ; 3.7241593056583238
